file	project	class	lines	recoveredCounterpart
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IQ5604TacticalDemolitionsCinematic.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IQ5604TacticalDemolitionsCinematic.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IRuinsOfKelVorethEnter.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IRuinsOfKelVorethEnter.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IShadesEveOnCreate.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IShadesEveOnCreate.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\ISpaceMadnessOnCreate.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\ISpaceMadnessOnCreate.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IStormtalonLairStormtalonReborn.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IStormtalonLairStormtalonReborn.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IVaultOfTheArchonHarizogColdbloodWakingUp.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IVaultOfTheArchonHarizogColdbloodWakingUp.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IVaultOfTheArchonHolocube.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IVaultOfTheArchonHolocube.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IVaultOfTheArchonOnCreate.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IVaultOfTheArchonOnCreate.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IVaultOfTheArchonOsunWakingUp.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IVaultOfTheArchonOsunWakingUp.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IVaultOfTheArchonVaultDoorOpen.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	4	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic.Cinematics\IVaultOfTheArchonVaultDoorOpen.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\IActor.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	27	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\IActor.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\IActorVisibility.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	7	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\IActorVisibility.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\ICamera.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	11	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\ICamera.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\ICameraAttach.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	8	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\ICameraAttach.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\ICameraSpline.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	9	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\ICameraSpline.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\ICameraTransition.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	8	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Cinematic\ICameraTransition.cs
